10 MXN;0,50 USD 
10 MXN;0,45 EUR
10 MXN;0,39 GBP
10 MXN;0,65 CAD
10 MXN;53,53 JPY
10 MXN;0,46 CHF
10 MXN;0,68 AUD
10 MXN;3,23 CNY
10 MXN;37,05 RUB
10 MXN;37,34 INR
